0,Alta Vista,Kansas
0,Bethpage,New York
0,Burlington,North Dakota
0,Byron Township,Michigan
0,Dilley,Oregon
0,Dixon,California
0,Garden City,Utah
0,Gas,Kansas
0,Grandview Heights,Ohio
0,Grenada,Mississippi
0,Hillandale,Maryland
0,Hueytown,Alabama
0,Jamestown,North Carolina
0,Jeffersonville,Kentucky
0,Kansas,Ohio
0,Lake Elsinore,California
0,Manhattan Beach,Oregon
0,Manhattan,Kansas
0,McKee,Oregon
0,Monroe,Michigan
0,Mylo,North Dakota
0,Oceanside,New York
0,Oliver Springs,Tennessee
0,Osceola Township,Camden County
0,Richland,Holmes County
0,Sandusky,Indiana
0,Shenandoah Shores,Virginia
0,Steamboat Rock,Iowa
0,Wabedo Township,Cass County
0,Welcome,Minnesota
0,Williams,Arizona
0,Willow Park,Texas
0,Wilmington Island,Georgia
0,Wilna,New York
1001210012,Akron,Iowa
1002,South Amherst,Massachusetts
1009,Bondsville,Massachusetts
10502,Ardsley,New York
10503,Irvington,New York
10504,Armonk,New York
10504,North Castle,New York
10509,Brewster,New York
10509,Southeast,New York
10510,Briarcliff Manor,New York
10511,Buchanan,New York
10512,Carmel,New York
10512,Lake Carmel,New York
10514,Chappaqua,New York
10516,Nelsonville,New York
10516,Philipstown,New York
10517,Crompond,New York
10521,Crugers,New York
10522,Dobbs Ferry,New York
10523,Elmsford,New York
10528,Harrison,New York
10530,Hartsdale,New York
10532,Hawthorne,New York
10533,Irvington,New York
10538,Larchmont,New York
10540,Lincolndale,New York
10547,Lake Mohegan,New York
10549,Bedford Corners,New York
10549,Mount Kisco,New York
10560,North Salem,New York
10566,Peekskill,New York
10567,Cortlandt Manor,New York
10570,Pleasantville,New York
10573,Port Chester,New York
10573,Rye Brook,New York
10576,Pound Ridge,New York
10576,Scotts Corners,New York
10577,Purchase,New York
10579,Putnam Valley,New York
10583,Scarsdale,New York
10587,Shenorock,New York
10588,Shrub Oak,New York
10589,Somers,New York
10590,Lewisboro,New York
10591,Sleepy Hollow,New York
10591,Tarrytown,New York
10594,Thornwood,New York
10595,Valhalla,New York
10596,Verplanck,New York
10598,Yorktown Heights,New York
10598,Yorktown,New York
1059,North Amherst,Massachusetts
10600,White Plains,New York
10607,Greenburgh,New York
10701,Yonkers,New York
10707,Tuckahoe,Westchester County
10708,Bronxville,New York
10801,New Rochelle,New York
1080,Three Rivers,Massachusetts
1085,Westfield,Massachusetts
10901,Airmont,New York
10901,Montebello,New York
10901,Suffern,New York
10910,Arden,New York
10912,Bellvale,New York
10913,Blauvelt,New York
10914,Blooming Grove,New York
10917,Central Valley,New York
10920,Congers,New York
10921,Florida,Orange County
10922,Fort Montgomery,New York
10925,Greenwood Lake,New York
10926,Harriman,New York
10928,Highland Falls,New York
10930,Highland Mills,New York
10931,Hillburn,New York
10952,Chestnut Ridge,New York
10952,Monsey,New York
10952,Wesley Hills,New York
10954,Bardonia,New York
10954,Nanuet,New York
10956,Clarkstown,New York
10956,New City,New York
10960,Nyack,New York
10960,South Nyack,New York
10960,Upper Nyack,New York
10962,Orangeburg,New York
10963,Otisville,New York
10965,Pearl River,New York
10968,Piermont,New York
10970,Mount Ivy,New York
10970,Pomona,New York
10974,Sloatsburg,New York
10977,New Hempstead,New York
10977,New Square,New York
10977,Spring Valley,New York
10980,Stony Point,New York
10984,Thiells,New York
10987,Tuxedo,New York
10987,Tuxedo Park,New York
10989,Valley Cottage,New York
10990,Amity,Orange County
10990,Warwick,New York
10992,Washingtonville,New York
10993,West Haverstraw,New York
10994,West Nyack,New York
10996,West Point,New York
11001,Bellerose Terrace,New York
11001,Floral Park,New York
11001,South Floral Park,New York
11003,Elmont,New York
11010,Franklin Square,New York
11020,Great Neck,New York
11020,Lake Success,New York
11020,University Gardens,New York
11021,Great Neck Estates,New York
11021,Kensington,New York
11021,Russell Gardens,New York
11021,Saddle Rock Estates,New York
11021,Thomaston,New York
11023,Harbor Hills,New York
11023,Saddle Rock,New York
11024,Kings Point,New York
11030,Manhasset,New York
11030,Munsey Park,New York
11030,North Hills,New York
11030,Plandome,New York
11040,Garden City Park,New York
11040,Herricks,New York
11040,Manhasset Hills,New York
11040,New Hyde Park,New York
11040,North New Hyde Park,New York
11050,Baxter Estates,New York
11050,Manorhaven,New York
11050,Port Washington,New York
11050,Sands Point,New York
11096,Inwood,New York
110,Saltibus,Saint Lucia
11100,Goleta,California
11220,Sunset Park,Brooklyn
11228,Dyker Heights,Brooklyn
11500,North Hempstead,New York
11500,Uniondale,New York
11500,Westbury,New York
11501,Mineola,New York
11507,Albertson,New York
11509,Atlantic Beach,New York
11510,Baldwin Harbor,New York
11510,Baldwin,Nassau County
11514,Carle Place,New York
11516,Cedarhurst,New York
11518,East Rockaway,New York
11520,Freeport,New York
11530,Garden City,New York
11530,Garden City South,New York
11530,Stewart Manor,New York
11542,Glen Cove,New York
11545,Brookville,New York
11545,Glen Head,New York
11545,Old Brookville,New York
11545,Roslyn Harbor,New York
11545,Upper Brookville,New York
11547,Glenwood Landing,New York
11548,East Hills,New York
11548,Greenvale,New York
11550,South Hempstead,New York
11552,Lakeview,New York
11552,West Hempstead,New York
11554,East Meadow,New York
11557,Hewlett Bay Park,New York
11557,Hewlett Harbor,New York
11557,Hewlett,New York
11558,Barnum Island,New York
11558,Harbor Isle,New York
11558,Island Park,New York
11559,Lawrence,Nassau County
11560,Lattingtown,New York
11560,Locust Valley,New York
11560,Matinecock,New York
11561,East Atlantic Beach,New York
11561,Lido Beach,New York
11561,Long Beach,New York
11563,Lynbrook,New York
11565,Malverne,New York
11566,Merrick,New York
11566,North Merrick,New York
11568,Old Westbury,New York
11569,Point Lookout,New York
11570,Rockville Centre,New York
11575,Roosevelt,New York
11576,Roslyn Estates,New York
11577,Roslyn Heights,New York
11579,Sea Cliff,New York
11580,North Valley Stream,New York
11580,Valley Stream,New York
11590,New Cassel,New York
11596,East Williston,New York
11596,Williston Park,New York
115980,Woodmere,New York
11598,Hewlett Neck,New York
11598,Woodsburgh,New York
11701,Amityville,New York
11701,North Amityville,New York
11702,West Islip,New York
11703,North Babylon,New York
11704,West Babylon,New York
11705,Bayport,New York
11706,Bay Shore,New York
11706,Kismet,New York
11706,North Bay Shore,New York
11706,Saltaire,New York
11706,West Bay Shore,New York
11709,Bayville,New York
11713,Bellport,New York
11713,North Bellport,New York
11715,Blue Point,New York
11716,Bohemia,New York
11717,Brentwood,New York
11718,Brightwaters,New York
11719,Brookhaven,New York
11720,Centereach,New York
11721,Centerport,New York
11722,Central Islip,New York
11724,Cold Spring Harbor,New York
11725,Commack,New York
11726,Copiague,New York
11727,Coram,New York
11730,East Islip,New York
11731,East Northport,New York
11731,Elwood,New York
11732,East Norwich,New York
11733,Old Field,New York
11733,Poquott,New York
11735,South Farmingdale,New York
11738,Farmingville,New York
11739,Great River,New York
11740,Greenlawn,New York
11741,Holbrook,New York
11743,Halesite,New York
11743,Huntington Bay,New York
11743,Huntington,New York
11743,Lloyd Harbor,New York
11743,West Hills,New York
11743,Wincoma,New York
11745,Smithtown,New York
11746,Dix Hills,New York
11746,Huntington Station,New York
11746,South Huntington,New York
11747,Melville,New York
11749,Hauppauge,New York
11749,Islandia,New York
11752,Islip Terrace,New York
11752,North Great River,New York
11753,Jericho,New York
11754,Kings Park,New York
11755,Lake Grove,New York
11756,Levittown,New York
11757,Lindenhurst,New York
11757,North Lindenhurst,New York
11758,East Massapequa,New York
11758,Massapequa,New York
11758,North Massapequa,New York
11758,Plainedge,New York
11762,Massapequa Park,New York
11763,Gordon Heights,New York
11763,Medford,New York
11764,Miller Place,New York
11765,Mill Neck,New York
11766,Mount Sinai,New York
11767,Nesconset,New York
11768,Asharoken,New York
11768,Eatons Neck,New York
11768,Fort Salonga,New York
11768,Northport,New York
11768,Vernon Valley,New York
11769,Oakdale,New York
11770,Fire Island,Suffolk County
11770,Ocean Beach,New York
11771,Centre Island,New York
11771,Cove Neck,New York
11771,Laurel Hollow,New York
11771,Oyster Bay Cove,New York
11772,Davis Park,New York
11772,East Patchogue,New York
11772,North Patchogue,New York
11772,Patchogue,New York
11773,Syosset,New York
11776,Port Jefferson Station,New York
11777,Belle Terre,New York
11777,Port Jefferson,New York
11778,Rocky Point,New York
11779,Lake Ronkonkoma,New York
11779,Ronkonkoma,New York
11780,Nissequogue,New York
11782,Fire Island Pines,New York
11782,Sayville,New York
11783,North Wantagh,New York
11783,Seaford,New York
11784,Selden,New York
11786,Shoreham,New York
11789,Sound Beach,New York
11790,Stony Brook,New York
11792,Wading River,New York
11793,Wantagh,New York
11796,West Sayville,New York
11798,Wheatley Heights,New York
11798,Wyandanch,New York
11801,Hicksville,New York
11803,Plainview,New York
11804,Old Bethpage,New York
11901,Flanders,New York
11930,Amagansett,New York
11931,Aquebogue,New York
11932,Bridgehampton,New York
11933,Baiting Hollow,New York
11933,Calverton,New York
11934,Center Moriches,New York
11935,Cutchogue,New York
11939,East Marion,New York
11940,East Moriches,New York
11941,Eastport,New York
11942,East Quogue,New York
11944,Greenport,Suffolk County
11946,Hampton Bays,New York
11947,Jamesport,New York
11948,Laurel,New York
11949,Manorville,New York
11950,Mastic,New York
11950,Poospatuck Reservation,Suffolk County
11951,Mastic Beach,New York
11952,Mattituck,New York
11953,Middle Island,New York
11954,Montauk,New York
11955,Moriches,New York
11956,New Suffolk,New York
11957,Orient,New York
11958,Peconic,New York
11959,Quogue,New York
11961,Ridge,New York
11962,Sagaponack,New York
11963,North Haven,New York
11963,Sag Harbor,New York
11965,Shelter Island Heights,New York
11967,Shirley,New York
11968,North Sea,New York
11968,Shinnecock Reservation,Suffolk County
11973,Upton,New York
11975,Wainscott,New York
11976,Water Mill,New York
11977,Westhampton,New York
11978,Quioque,New York
11978,Westhampton Beach,New York
11978,West Hampton Dunes,New York
11980,Yaphank,New York
11,Cayucos,California
11,Cloverdale,Virginia
11,Tappan,New York
12000,Black River,New York
12008,Alplaus,New York
12016,Fultonville,New York
12017,Austerlitz,New York
12018,Averill Park,New York
12019,Ballston,New York
12019,Charlton,New York
12020,Ballston Spa,New York
12020,Malta,New York
12022,Berlin,New York
12023,Berne,New York
12029,Canaan,New York
12031,Carlisle,New York
12032,Caroga,New York
12043,Seward,New York
12053,Delanson,New York
12055,Westerlo,New York
12056,Duanesburg,New York
12056,Princetown,New York
12060,East Chatham,New York
12065,Clifton Park,New York
